artist,debut_year,year,years_since_debut,debut_position,debut_songs,total_hits,best_position,return_songs,best_return_position,last_year,years_since_last
Passenger,2013,2013,0,97,1,1,97,0,,2013,0
Pat Benatar,1980,2013,33,83,1,5,39,0,,1985,28
Pat Boone,1956,2013,57,13,5,16,2,0,,1962,51
Patience and Prudence,1956,2013,57,26,1,2,26,0,,1957,56
Patric Swayze,1988,2013,25,40,1,1,40,0,,1988,25
Patrick Hernandez,1979,2013,34,70,1,1,70,0,,1979,34
Patrick Stump,2007,2013,6,23,1,1,23,0,,2007,6
Patsy Cline,1961,2013,52,2,1,2,2,0,,1962,51
Patti Austin,1983,2013,30,8,1,1,8,0,,1983,30
Patti Labelle,1986,2013,27,4,1,1,4,0,,1986,27
Patti Page,1956,2013,57,24,3,5,24,0,,1965,48
Patti Smith,1978,2013,35,72,1,1,72,0,,1978,35
Patty Duke,1965,2013,48,77,1,1,77,0,,1965,48
Patty Smyth,1992,2013,21,22,1,1,22,0,,1992,21
Paul Anka,1957,2013,56,24,1,13,5,0,,1976,37
Paul Carrack,1988,2013,25,83,1,1,83,0,,1988,25
Paul Davis,1978,2013,35,12,1,3,12,0,,1982,31
Paul Evans,1960,2013,53,84,1,1,84,0,,1960,53
Paul Evans and The Curls,1959,2013,54,100,1,1,100,0,,1959,54
Paul Mauriat,1968,2013,45,2,1,1,2,0,,1968,45
Paul McCartney,1971,2013,42,60,1,13,3,0,,1986,27
Paul McCoy,2003,2013,10,10,1,1,10,0,,2003,10
Paul Revere and The Raiders,1966,2013,47,25,3,4,25,0,,1969,44
Paul Simon,1972,2013,41,57,1,5,8,0,,1978,35
Paul Stookey,1971,2013,42,92,1,1,92,0,,1971,42
Paul Wall,2006,2013,7,12,1,1,12,0,,2006,7
Paul Young,1985,2013,28,11,1,2,11,0,,1990,23
Paul and Linda McCartney,1971,2013,42,22,1,1,22,0,,1971,42
Paul and Paula,1963,2013,50,7,1,1,7,0,,1963,50
Paula Abdul,1989,2013,24,4,3,8,4,0,,1992,21
Paula Cole,1997,2013,16,38,1,2,10,0,,1998,15
Paula DeAnda,2007,2013,6,79,1,1,79,0,,2007,6
Peabo Bryson,1983,2013,30,96,1,3,18,0,,1993,20
Peaches and Herb,1967,2013,46,71,1,4,5,0,,1980,33
Pearl Jam,1996,2013,17,96,1,2,23,0,,1999,14
Pebbles,1988,2013,25,60,2,3,60,0,,1990,23
Peggy Lee,1956,2013,57,91,1,2,76,0,,1958,55
People,1968,2013,45,53,1,1,53,0,,1968,45
Percy Faith,1960,2013,53,1,1,1,1,0,,1960,53
Percy Sledge,1966,2013,47,20,1,2,20,0,,1968,45
Perez Prado,1958,2013,55,5,1,1,5,0,,1958,55
Perry Como,1956,2013,57,16,5,9,7,0,,1971,42
Pet Shop Boys,1986,2013,27,15,1,3,15,0,,1988,25
