id,name,male_18_to_24,cfb_players,cbb_players,pred_cfb,pred_cbb,resid_cfb,resid_cbb,percent_cfb,percent_cbb
28055,"Issaquena, Mississippi",119,0,0,0.698252899,-0.214417984,-0.698252899,0.214417984,-0.005867671,0.001801832
38045,"LaMoure, North Dakota",119,0,0,0.698252899,-0.214417984,-0.698252899,0.214417984,-0.005867671,0.001801832
48197,"Hardeman, Texas",120,0,0,0.699773078,-0.21407681,-0.699773078,0.21407681,-0.005831442,0.001783973
53013,"Columbia, Washington",120,0,0,0.699773078,-0.21407681,-0.699773078,0.21407681,-0.005831442,0.001783973
20129,"Morton, Kansas",121,0,0,0.701293257,-0.213735635,-0.701293257,0.213735635,-0.005795812,0.00176641
31175,"Valley, Nebraska",121,0,0,0.701293257,-0.213735635,-0.701293257,0.213735635,-0.005795812,0.00176641
48413,"Schleicher, Texas",121,0,0,0.701293257,-0.213735635,-0.701293257,0.213735635,-0.005795812,0.00176641
16037,"Custer, Idaho",123,0,0,0.704333615,-0.213053286,-0.704333615,0.213053286,-0.00572629,0.001732141
29129,"Mercer, Missouri",123,0,0,0.704333615,-0.213053286,-0.704333615,0.213053286,-0.00572629,0.001732141
48105,"Crockett, Texas",124,0,0,0.705853794,-0.212712112,-0.705853794,0.212712112,-0.005692369,0.00171542
16061,"Lewis, Idaho",125,0,0,0.707373973,-0.212370937,-0.707373973,0.212370937,-0.005658992,0.001698967
27155,"Traverse, Minnesota",125,0,0,0.707373973,-0.212370937,-0.707373973,0.212370937,-0.005658992,0.001698967
17069,"Hardin, Illinois",128,0,0,0.71193451,-0.211347413,-0.71193451,0.211347413,-0.005561988,0.001651152
20019,"Chautauqua, Kansas",128,0,0,0.71193451,-0.211347413,-0.71193451,0.211347413,-0.005561988,0.001651152
31181,"Webster, Nebraska",128,0,0,0.71193451,-0.211347413,-0.71193451,0.211347413,-0.005561988,0.001651152
48417,"Shackelford, Texas",130,0,0,0.714974868,-0.210665064,-0.714974868,0.210665064,-0.005499807,0.0016205
20141,"Osborne, Kansas",131,0,0,0.716495047,-0.21032389,-0.716495047,0.21032389,-0.005469428,0.001605526
31125,"Nance, Nebraska",131,0,0,0.716495047,-0.21032389,-0.716495047,0.21032389,-0.005469428,0.001605526
20157,"Republic, Kansas",132,0,0,0.718015225,-0.209982715,-0.718015225,0.209982715,-0.005439509,0.001590778
13061,"Clay, Georgia",134,0,0,0.721055583,-0.209300366,-0.721055583,0.209300366,-0.005381012,0.001561943
30061,"Mineral, Montana",134,0,0,0.721055583,-0.209300366,-0.721055583,0.209300366,-0.005381012,0.001561943
31105,"Kimball, Nebraska",134,0,0,0.721055583,-0.209300366,-0.721055583,0.209300366,-0.005381012,0.001561943
40059,"Harper, Oklahoma",134,0,0,0.721055583,-0.209300366,-0.721055583,0.209300366,-0.005381012,0.001561943
48421,"Sherman, Texas",134,0,0,0.721055583,-0.209300366,-0.721055583,0.209300366,-0.005381012,0.001561943
48125,"Dickens, Texas",135,0,0,0.722575762,-0.208959191,-0.722575762,0.208959191,-0.005352413,0.001547846
55037,"Florence, Wisconsin",135,0,0,0.722575762,-0.208959191,-0.722575762,0.208959191,-0.005352413,0.001547846
26131,"Ontonagon, Michigan",136,0,0,0.724095941,-0.208618017,-0.724095941,0.208618017,-0.005324235,0.001533956
40129,"Roger Mills, Oklahoma",136,0,0,0.724095941,-0.208618017,-0.724095941,0.208618017,-0.005324235,0.001533956
27069,"Kittson, Minnesota",137,0,0,0.72561612,-0.208276842,-0.72561612,0.208276842,-0.005296468,0.001520269
36041,"Hamilton, New York",137,0,0,0.72561612,-0.208276842,-0.72561612,0.208276842,-0.005296468,0.001520269
46045,"Edmunds, South Dakota",137,0,0,0.72561612,-0.208276842,-0.72561612,0.208276842,-0.005296468,0.001520269
46053,"Gregory, South Dakota",137,0,0,0.72561612,-0.208276842,-0.72561612,0.208276842,-0.005296468,0.001520269
27125,"Red Lake, Minnesota",140,0,0,0.730176657,-0.207253319,-0.730176657,0.207253319,-0.005215548,0.001480381
48191,"Hall, Texas",140,0,0,0.730176657,-0.207253319,-0.730176657,0.207253319,-0.005215548,0.001480381
48267,"Kimble, Texas",140,0,0,0.730176657,-0.207253319,-0.730176657,0.207253319,-0.005215548,0.001480381
29103,"Knox, Missouri",141,0,0,0.731696836,-0.206912144,-0.731696836,0.206912144,-0.005189339,0.001467462
19003,"Adams, Iowa",142,0,0,0.733217015,-0.20657097,-0.733217015,0.20657097,-0.0051635,0.001454725
16071,"Oneida, Idaho",143,0,0,0.734737194,-0.206229795,-0.734737194,0.206229795,-0.005138022,0.001442166
46071,"Jackson, South Dakota",143,0,0,0.734737194,-0.206229795,-0.734737194,0.206229795,-0.005138022,0.001442166
31063,"Frontier, Nebraska",145,0,0,0.737777552,-0.205547446,-0.737777552,0.205547446,-0.005088121,0.001417569
8023,"Costilla, Colorado",146,0,0,0.739297731,-0.205206271,-0.739297731,0.205206271,-0.005063683,0.001405522
46137,"Ziebach, South Dakota",146,0,0,0.739297731,-0.205206271,-0.739297731,0.205206271,-0.005063683,0.001405522
