name,sport,gender,country,height,weight,age
Annelies Cook,bai,Female,United States,1.70,56,29
Chaoqing Song,bai,Female,China,1.70,60,22
Na Song,bai,Female,China,1.66,57,18
Tobias Arwidson,bai,Male,Sweden,1.70,74,25
Serafin Wiestner,bai,Male,Switzerland,1.85,80,23
Desislava Stoyanova,bai,Female,Bulgaria,1.69,59,21
Grete Gaim,bai,Female,Estonia,1.71,58,20
Jean-Philippe Le Guellec,bai,Male,Canada,1.71,64,28
Jaroslav Soukup,bai,Male,Czech Republic,1.83,66,31
Aita Gasparin,bai,Female,Switzerland,1.63,53,20
Paulina Fialkova,bai,Female,Slovakia,1.64,55,21
Claudio Boeckli,bai,Male,Switzerland,1.79,76,29
Elin Mattsson,bai,Female,Sweden,1.65,61,27
Susan Dunklee,bai,Female,United States,1.70,63,28
Jialin Tang,bai,Female,China,1.68,55,22
Anastasiya Kuzmina,bai,Female,Slovakia,1.80,67,29
Ann Kristin Aafedt Flatland,bai,Female,Norway,,,31
Marina Lebedeva,bai,Female,Kazakhstan,1.62,52,28
Darya Domracheva,bai,Female,Belarus,1.68,56,27
Paulina Bobak,bai,Female,Poland,1.66,57,29
Monika Hojnisz,bai,Female,Poland,1.70,51,22
