year,order,rank,country,group,wc,result
2010,56,56,Northern Ireland,None,6,Didn't make World Cup :-(
2010,57,57,Hungary,None,6,Didn't make World Cup :-(
2010,58,58,Poland,None,6,Didn't make World Cup :-(
2010,59,59,Belgium,None,6,Didn't make World Cup :-(
2010,60,60,Benin,None,6,Didn't make World Cup :-(
2010,61,61,Iran,None,6,Didn't make World Cup :-(
2010,62,61,FYR Macedonia,None,6,Didn't make World Cup :-(
2010,63,63,Canada,None,6,Didn't make World Cup :-(
2010,64,64,Montenegro,None,6,Didn't make World Cup :-(
2010,65,65,Bolivia,None,6,Didn't make World Cup :-(
2010,66,66,Saudi Arabia,None,6,Didn't make World Cup :-(
2010,67,67,Cyprus,None,6,Didn't make World Cup :-(
2010,68,68,Austria,None,6,Didn't make World Cup :-(
2010,69,69,Bahrain,None,6,Didn't make World Cup :-(
2010,70,70,Morocco,None,6,Didn't make World Cup :-(
2010,71,71,Zambia,None,6,Didn't make World Cup :-(
2010,72,72,El Salvador,None,6,Didn't make World Cup :-(
2010,73,73,Uganda,None,6,Didn't make World Cup :-(
2010,74,74,Panama,None,6,Didn't make World Cup :-(
2010,75,75,Senegal,None,6,Didn't make World Cup :-(
2010,76,76,Togo,None,6,Didn't make World Cup :-(
2010,77,77,Wales,None,6,Didn't make World Cup :-(
2010,78,78,New Zealand,F,5,Lost in group play
2010,79,79,Albania,None,6,Didn't make World Cup :-(
2010,80,80,Iraq,None,6,Didn't make World Cup :-(
2010,81,81,Jamaica,None,6,Didn't make World Cup :-(
2010,82,82,Belarus,None,6,Didn't make World Cup :-(
2010,83,83,South Africa,A,5,Lost in group play
2010,84,84,China PR,None,6,Didn't make World Cup :-(
2010,85,85,Mozambique,None,6,Didn't make World Cup :-(
2010,86,86,Malawi,None,6,Didn't make World Cup :-(
2010,87,87,Guinea,None,6,Didn't make World Cup :-(
2010,88,88,Angola,None,6,Didn't make World Cup :-(
2010,89,89,Moldova,None,6,Didn't make World Cup :-(
2010,90,90,Iceland,None,6,Didn't make World Cup :-(
2010,91,91,Oman,None,6,Didn't make World Cup :-(
2010,92,91,Haiti,None,6,Didn't make World Cup :-(
2010,93,93,Gambia,None,6,Didn't make World Cup :-(
2010,94,94,Uzbekistan,None,6,Didn't make World Cup :-(
2010,95,95,Trinidad and Tobago,None,6,Didn't make World Cup :-(
2010,96,96,Qatar,None,6,Didn't make World Cup :-(
2010,97,97,Kuwait,None,6,Didn't make World Cup :-(
2010,98,98,Syria,None,6,Didn't make World Cup :-(
2010,99,99,Estonia,None,6,Didn't make World Cup :-(
2010,100,100,Armenia,None,6,Didn't make World Cup :-(
2010,101,101,United Arab Emirates,None,6,Didn't make World Cup :-(
2010,102,102,Libya,None,6,Didn't make World Cup :-(
2010,103,103,Congo,None,6,Didn't make World Cup :-(
2010,104,104,Jordan,None,6,Didn't make World Cup :-(
2010,105,105,North Korea,G,5,Lost in group play
2010,106,106,Thailand,None,6,Didn't make World Cup :-(
2010,107,107,Rwanda,None,6,Didn't make World Cup :-(
2010,108,108,Tanzania,None,6,Didn't make World Cup :-(
2010,109,109,Azerbaijan,None,6,Didn't make World Cup :-(
2010,110,110,Zimbabwe,None,6,Didn't make World Cup :-(
2014,1,1,Spain,B,5,
2014,2,2,Germany,G,5,
2014,3,3,Brazil,A,5,
2014,4,4,Portugal,G,5,
2014,5,5,Argentina,F,5,
2014,6,6,Switzerland,E,5,
2014,7,7,Uruguay,D,5,
2014,8,8,Colombia,C,5,
2014,9,9,Italy,D,5,
2014,10,10,England,D,5,
2014,11,11,Belgium,H,5,
2014,12,12,Greece,C,5,
2014,13,13,USA,G,5,
2014,14,14,Chile,B,5,
2014,15,15,Netherlands,B,5,
2014,16,16,Ukraine,None,6,Didn't make World Cup :-(
2014,17,17,France,E,5,
2014,18,18,Croatia,A,5,
2014,19,19,Russia,H,5,
2014,20,20,Mexico,A,5,
2014,21,21,Bosnia and Herzegovina,F,5,
2014,22,22,Algeria,H,5,
2014,23,23,Denmark,None,6,Didn't make World Cup :-(
2014,24,23,Cªte d'Ivoire,C,5,
2014,25,25,Slovenia,None,6,Didn't make World Cup :-(
2014,26,26,Ecuador,E,5,
2014,27,27,Scotland,None,6,Didn't make World Cup :-(
2014,28,28,Costa Rica,D,5,
2014,29,29,Romania,None,6,Didn't make World Cup :-(
2014,30,30,Serbia,None,6,Didn't make World Cup :-(
2014,31,31,Panama,None,6,Didn't make World Cup :-(
2014,32,32,Sweden,None,6,Didn't make World Cup :-(
2014,33,33,Honduras,E,5,
2014,34,34,Czech Republic,None,6,Didn't make World Cup :-(
2014,35,35,Turkey,None,6,Didn't make World Cup :-(
2014,36,36,Egypt,None,6,Didn't make World Cup :-(
2014,37,37,Ghana,G,5,
2014,38,38,Armenia,None,6,Didn't make World Cup :-(
2014,39,39,Cape Verde Islands,None,6,Didn't make World Cup :-(
2014,40,40,Venezuela,None,6,Didn't make World Cup :-(
2014,41,41,Wales,None,6,Didn't make World Cup :-(
2014,42,42,Austria,None,6,Didn't make World Cup :-(
2014,43,43,Iran,F,5,
2014,44,44,Nigeria,F,5,
2014,45,45,Peru,None,6,Didn't make World Cup :-(
2014,46,46,Japan,C,5,
2014,47,47,Hungary,None,6,Didn't make World Cup :-(
2014,48,48,Tunisia,None,6,Didn't make World Cup :-(
2014,49,49,Slovakia,None,6,Didn't make World Cup :-(
2014,50,50,Paraguay,None,6,Didn't make World Cup :-(
