company_permalink,company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,funding_round_type,funded_at,raised_amount_usd
/company/908-devices,908 Devices,manufacturing,USA,MA,Boston,Boston,series-a,2012-09-05,8100000
/company/908-devices,908 Devices,manufacturing,USA,MA,Boston,Boston,series-b,2013-08-27,7000000
/company/955-dreams,955 Dreams,mobile,USA,CA,SF Bay,Mountain View,series-a,2012-01-26,3250000
/company/99designs,99designs,design,USA,CA,SF Bay,San Francisco,series-a,2011-04-28,35000000
/company/9lenses,9Lenses,software,USA,VA,Washington DC,Leesburg,series-a,2013-09-12,3000000
/company/9slides,9SLIDES,enterprise,USA,WA,Seattle,Redmond,angel,2013-05-30,500000
/company/9slides,9SLIDES,enterprise,USA,WA,Seattle,Redmond,other,2011-09-29,5000
/company/pay-mobile-checkout-for-email-and-the-web,@Pay - Two-Click Checkout,mobile,USA,NM,Albuquerque,Albuquerque,series-a,2012-07-01,3500000
/company/a-bit-lucky,A Bit Lucky,games_video,USA,CA,SF Bay,San Mateo,other,2010-03-15,2600000
/company/a-bit-lucky,A Bit Lucky,games_video,USA,CA,SF Bay,San Mateo,venture,2011-03-21,5000000
/company/a-curated-world,A Curated World,ecommerce,USA,RI,Providence,Providence,angel,2012-04-01,50000
/company/a-family-first-community-services,A Family First Community Services,health,USA,GA,Atlanta,Atlanta,venture,2011-11-01,500000
/company/a-la-mobile,A la Mobile,software,USA,KS,SF Bay,San Ramon,series-b,2007-03-01,4050000
/company/a-la-mobile,A la Mobile,software,USA,KS,SF Bay,San Ramon,series-a,2005-07-01,3500000
/company/a-g-pharmaceutical,A&G Pharmaceutical,biotech,USA,MD,Washington DC,Columbia,series-a,2005-09-08,2000000
/company/a10-networks,A10 Networks,network_hosting,USA,CA,SF Bay,San Jose,series-b,2006-11-13,9000000
/company/a10-networks,A10 Networks,network_hosting,USA,CA,SF Bay,San Jose,series-c+,2008-07-14,23000000
/company/a10-networks,A10 Networks,network_hosting,USA,CA,SF Bay,San Jose,series-a,2005-01-01,6000000
/company/a123systems,A123 Systems,nanotech,USA,MA,Boston,Watertown,series-c+,2007-10-01,30000000
/company/a123systems,A123 Systems,nanotech,USA,MA,Boston,Watertown,series-c+,2007-01-01,40000000
/company/a123systems,A123 Systems,nanotech,USA,MA,Boston,Watertown,series-b,2006-02-01,30000000
/company/a123systems,A123 Systems,nanotech,USA,MA,Boston,Watertown,series-a,2005-11-01,32000000
/company/a123systems,A123 Systems,nanotech,USA,MA,Boston,Watertown,series-c+,2009-04-13,69000000
/company/a123systems,A123 Systems,nanotech,USA,MA,Boston,Watertown,other,2009-08-05,249000000
/company/a123systems,A123 Systems,nanotech,USA,MA,Boston,Watertown,other,2009-12-16,2860000
/company/a123systems,A123 Systems,nanotech,USA,MA,Boston,Watertown,venture,2012-06-07,50000000
/company/aaipharma-services,AAIPharma Services,biotech,USA,NC,Wilmington,Wilmington,private-equity,2012-01-11,20000000
