school,position,county_code,conference
Nevada Wolf Pack,dl,0,mountain-west
Missouri State Bears,dl,0,missouri-valley
Michigan Wolverines,dl,0,big-ten
Miami (FL) Hurricanes,dl,0,acc
Liberty Flames,dl,0,big-south
Kentucky Wildcats,dl,0,sec
Jacksonville State Gamecocks,dl,0,ohio-valley
Indiana Hoosiers,dl,0,big-ten
Incarnate Word Cardinals,dl,0,fcs-independents
Idaho Vandals,dl,0,fbs-independents
Houston Baptist Huskies,dl,0,fcs-independents
Houston Baptist Huskies,dl,0,fcs-independents
Hawaii Warriors,dl,0,mountain-west
Hawaii Warriors,dl,0,mountain-west
Grambling State Tigers,dl,0,swac
Grambling State Tigers,dl,0,swac
Georgia Southern Eagles,dl,0,southern
Furman Paladins,dl,0,southern
Florida Gators,dl,0,sec
Florida Atlantic Owls,dl,0,conference-usa
Eastern Michigan Eagles,dl,0,mid-american
Eastern Kentucky Colonels,dl,0,ohio-valley
Drake Bulldogs,dl,0,pioneer
Davidson Wildcats,dl,0,pioneer
Davidson Wildcats,dl,0,pioneer
Davidson Wildcats,dl,0,pioneer
Cornell Big Red,dl,0,ivy
Columbia Lions,dl,0,ivy
Columbia Lions,dl,0,ivy
Citadel Bulldogs,dl,0,southern
Brigham Young Cougars,dl,0,fbs-independents
Boston College Eagles,dl,0,acc
Boise State Broncos,dl,0,mountain-west
Boise State Broncos,dl,0,mountain-west
Boise State Broncos,dl,0,mountain-west
Ball State Cardinals,dl,0,mid-american
Ball State Cardinals,dl,0,mid-american
Ball State Cardinals,dl,0,mid-american
Ball State Cardinals,dl,0,mid-american
Ball State Cardinals,dl,0,mid-american
Ball State Cardinals,dl,0,mid-american
Ball State Cardinals,dl,0,mid-american
Ball State Cardinals,dl,0,mid-american
Ball State Cardinals,dl,0,mid-american
Ball State Cardinals,dl,0,mid-american
Ball State Cardinals,dl,0,mid-american
Ball State Cardinals,dl,0,mid-american
Ball State Cardinals,dl,0,mid-american
Ball State Cardinals,dl,0,mid-american
Ball State Cardinals,dl,0,mid-american
Ball State Cardinals,dl,0,mid-american
Ball State Cardinals,dl,0,mid-american
Ball State Cardinals,dl,0,mid-american
Ball State Cardinals,dl,0,mid-american
Austin Peay Governors,dl,0,ohio-valley
Austin Peay Governors,dl,0,ohio-valley
Auburn Tigers,dl,0,sec
Arkansas-Pine Bluff Golden Lions,dl,0,swac
Arkansas Razorbacks,dl,0,sec
Arizona State Sun Devils,dl,0,pac-12
Alabama State Hornets,dl,0,swac
Alabama A&M Bulldogs,dl,0,swac
Air Force Falcons,dl,0,mountain-west
Air Force Falcons,dl,0,mountain-west
Southern Illinois Salukis,db,0,missouri-valley
Michigan State Spartans,db,0,big-ten
Eastern Michigan Eagles,db,0,mid-american
Wyoming Cowboys,db,0,mountain-west
Boise State Broncos,db,0,mountain-west
Youngstown State Penguins,db,0,missouri-valley
Western Michigan Broncos,db,0,mid-american
Western Illinois Leathernecks,db,0,missouri-valley
Wagner Seahawks,db,0,northeast
Virginia Military Institute Keydets,db,0,big-south
USC Trojans,db,0,pac-12
UNLV Rebels,db,0,mountain-west
UCLA Bruins,db,0,pac-12
UCLA Bruins,db,0,pac-12
UCF Knights,db,0,american-athletic
UCF Knights,db,0,american-athletic
Towson Tigers,db,0,caa
Tennessee-Martin Skyhawks,db,0,ohio-valley
Tennessee-Martin Skyhawks,db,0,ohio-valley
Tennessee Volunteers,db,0,sec
Southern Utah Thunderbirds,db,0,big-sky
Southern Miss Golden Eagles,db,0,conference-usa
Southern Methodist Mustangs,db,0,american-athletic
South Florida Bulls,db,0,american-athletic
